Order ID,Product,Order Date,Sales,Quantity Sold,Warehouse Location
222,Book,2023-08-10,39,6,Beijing
223,Book,2023-08-11,280,3,London
224,Laptop,2023-08-12,312,2,Chicago
225,Backpack,2023-08-13,441,4,Houston
226,Camera,2023-08-14,275,5,Lagos
227,Phone,2023-08-15,241,4,Paris
228,Backpack,2023-08-16,412,3,Miami
229,Camera,2023-08-17,245,8,Los Angeles
230,Book,2023-08-18,72,4,Lagos
231,T-Shirt,2023-08-19,447,2,Chicago
232,Shoes,2023-08-20,374,2,Tokyo
233,Laptop,2023-08-21,361,1,Los Angeles
234,Shoes,2023-08-22,383,4,New York
235,Watch,2023-08-23,299,9,Beijing
236,Watch,2023-08-24,100,7,Chicago
237,Backpack,2023-08-25,221,7,Paris
238,Book,2023-08-26,177,7,New York
239,Book,2023-08-27,139,8,London
240,Phone,2023-08-28,78,1,Sydney
241,Phone,2023-08-29,234,8,Miami
242,Phone,2023-08-30,147,4,Miami
243,T-Shirt,2023-08-31,243,4,New York
244,Sunglasses,2023-09-01,228,4,Beijing
245,Headphones,2023-09-02,389,6,London
246,Sunglasses,2023-09-03,134,7,Tokyo
247,Shoes,2023-09-04,228,6,Beijing
248,Sunglasses,2023-09-05,33,1,Lagos
249,T-Shirt,2023-09-06,28,8,Miami
250,Shoes,2023-09-07,59,7,Lagos
251,Sunglasses,2023-09-08,469,6,Paris
252,T-Shirt,2023-09-09,256,6,Los Angeles
253,Headphones,2023-09-10,300,5,Houston
254,Sunglasses,2023-09-11,378,6,Chicago
255,T-Shirt,2023-09-12,220,9,London
256,Phone,2023-09-13,265,9,Beijing
257,Book,2023-09-14,297,8,Miami
258,Phone,2023-09-15,254,9,Lagos
259,Book,2023-09-16,23,8,Sydney
260,Laptop,2023-09-17,173,8,Los Angeles
261,Laptop,2023-09-18,461,1,Chicago
262,Laptop,2023-09-19,48,5,Chicago
263,Headphones,2023-09-20,128,4,Beijing
264,Phone,2023-09-21,117,2,London
265,Book,2023-09-22,234,8,Tokyo
266,T-Shirt,2023-09-23,312,3,Paris
267,Shoes,2023-09-24,94,4,Sydney
268,T-Shirt,2023-09-25,345,7,Paris
269,Shoes,2023-09-26,165,9,Beijing
270,Watch,2023-09-27,147,2,Lagos
271,T-Shirt,2023-09-28,360,3,Houston
272,Sunglasses,2023-09-29,61,4,New York
273,Sunglasses,2023-09-30,375,1,Tokyo
274,Backpack,2023-10-01,60,7,London
275,Phone,2023-10-02,441,2,Los Angeles
276,Shoes,2023-10-03,53,5,Tokyo
277,Shoes,2023-10-04,36,1,Miami
278,Phone,2023-10-05,184,3,London
279,Headphones,2023-10-06,172,2,Houston
280,Backpack,2023-10-07,397,1,Miami
281,Headphones,2023-10-08,95,7,Tokyo
282,Headphones,2023-10-09,106,5,New York
283,Headphones,2023-10-10,136,1,New York
284,Phone,2023-10-11,381,6,Houston
285,Headphones,2023-10-12,361,5,Chicago
286,Sunglasses,2023-10-13,488,3,Sydney
287,Laptop,2023-10-14,46,7,Los Angeles
288,Watch,2023-10-15,332,9,Chicago
289,Shoes,2023-10-16,306,9,Paris
290,Shoes,2023-10-17,153,9,Paris
291,Watch,2023-10-18,238,2,Paris
292,Phone,2023-10-19,187,3,New York
293,T-Shirt,2023-10-20,117,7,New York
294,Phone,2023-10-21,287,5,Lagos
295,Shoes,2023-10-22,256,2,Miami
296,Shoes,2023-10-23,328,3,Tokyo
297,Watch,2023-10-24,474,6,Los Angeles
298,Headphones,2023-10-25,413,7,Houston
299,Phone,2023-10-26,192,9,Tokyo
300,Book,2023-10-27,420,1,Lagos
301,Watch,2023-10-28,429,7,New York
302,Sunglasses,2023-10-29,488,8,Houston
303,Shoes,2023-10-30,495,3,New York
304,Watch,2023-10-31,209,4,Los Angeles
305,Phone,2023-11-01,141,6,Miami
306,Shoes,2023-11-02,65,7,Tokyo
307,T-Shirt,2023-11-03,83,4,Tokyo
308,Watch,2023-11-04,149,8,Paris
309,Backpack,2023-11-05,329,5,Chicago
310,Shoes,2023-11-06,382,1,Paris
311,Phone,2023-11-07,212,4,Houston
312,Laptop,2023-11-08,326,3,Sydney
313,Book,2023-11-09,200,9,Paris
314,Camera,2023-11-10,311,8,Lagos
315,Headphones,2023-11-11,390,1,Paris
316,Camera,2023-11-12,301,6,Paris
317,Phone,2023-11-13,48,9,Sydney
318,Sunglasses,2023-11-14,168,7,Chicago
319,Sunglasses,2023-11-15,286,4,Los Angeles
320,Laptop,2023-11-16,315,1,Lagos
321,Headphones,2023-11-17,30,2,Paris
322,Backpack,2023-11-18,183,5,Miami
323,Laptop,2023-11-19,132,5,Sydney
324,Camera,2023-11-20,206,8,Miami
325,Laptop,2023-11-21,314,6,Sydney
326,Camera,2023-11-22,251,8,Miami
327,Shoes,2023-11-23,246,2,Sydney
328,Sunglasses,2023-11-24,329,3,Miami
329,Shoes,2023-11-25,117,6,Chicago
330,Book,2023-11-26,74,3,London
331,Headphones,2023-11-27,130,6,Lagos
332,Backpack,2023-11-28,171,6,Houston
333,Camera,2023-11-29,265,2,Los Angeles
334,Backpack,2023-11-30,425,7,Beijing
335,Camera,2023-12-01,88,2,New York
336,Phone,2023-12-02,331,6,Paris
337,Laptop,2023-12-03,308,1,Houston
338,Book,2023-12-04,269,3,New York
339,Sunglasses,2023-12-05,55,2,Lagos
340,Camera,2023-12-06,258,7,Houston
341,Backpack,2023-12-07,167,4,Miami
342,Book,2023-12-08,486,8,Miami
343,T-Shirt,2023-12-09,246,6,Beijing
344,T-Shirt,2023-12-10,263,4,New York
345,Shoes,2023-12-11,356,5,Los Angeles
346,Sunglasses,2023-12-12,465,9,Lagos
347,Phone,2023-12-13,384,7,Miami
348,Backpack,2023-12-14,220,9,Paris
349,Laptop,2023-12-15,173,7,London
350,Laptop,2023-12-16,469,1,Chicago
351,Backpack,2023-12-17,92,8,Chicago
352,Headphones,2023-12-18,220,4,Sydney
353,Phone,2023-12-19,315,3,Los Angeles
354,Book,2023-12-20,36,7,Chicago
355,Camera,2023-12-21,148,3,Sydney
356,Headphones,2023-12-22,236,8,New York
357,Camera,2023-12-23,80,6,Miami
358,Camera,2023-12-24,446,5,Miami
359,Headphones,2023-12-25,123,4,Paris
360,Shoes,2023-12-26,61,8,London
361,T-Shirt,2023-12-27,44,8,Houston
362,Camera,2023-12-28,58,1,Chicago
363,Headphones,2023-12-29,310,9,New York
364,Headphones,2023-12-30,150,5,Tokyo
365,Watch,2023-12-31,248,4,Chicago
366,Shoes,2024-01-01,127,6,Los Angeles
367,Sunglasses,2024-01-02,191,6,Paris
368,Watch,2024-01-03,454,2,Houston
369,Watch,2024-01-04,497,8,Chicago
370,Backpack,2024-01-05,121,7,New York
371,T-Shirt,2024-01-06,373,1,Chicago
372,Headphones,2024-01-07,31,5,Los Angeles
373,T-Shirt,2024-01-08,294,6,Tokyo
374,Phone,2024-01-09,120,4,Lagos
375,Backpack,2024-01-10,63,2,Beijing
376,Sunglasses,2024-01-11,462,4,Tokyo
377,T-Shirt,2024-01-12,324,1,Sydney
378,Laptop,2024-01-13,464,7,Chicago
379,Camera,2024-01-14,36,2,Miami
380,Phone,2024-01-15,349,2,London
381,Shoes,2024-01-16,76,9,Miami
382,Sunglasses,2024-01-17,330,5,Tokyo
383,Phone,2024-01-18,322,2,Miami
384,Camera,2024-01-19,31,9,New York
385,Backpack,2024-01-20,337,9,Miami
386,Camera,2024-01-21,99,1,Houston
387,Watch,2024-01-22,235,3,Lagos
388,Camera,2024-01-23,358,4,Chicago
389,Watch,2024-01-24,283,7,Paris
390,Backpack,2024-01-25,498,4,Miami
391,Book,2024-01-26,168,2,Los Angeles
392,Watch,2024-01-27,100,7,Paris
393,Shoes,2024-01-28,234,6,Lagos
394,Camera,2024-01-29,393,3,Lagos
395,Camera,2024-01-30,483,6,Miami
396,Shoes,2024-01-31,217,6,Lagos
397,Laptop,2024-02-01,219,5,Paris
398,Headphones,2024-02-02,44,4,London
399,Book,2024-02-03,485,1,Miami
400,Sunglasses,2024-02-04,108,6,New York
401,Watch,2024-02-05,287,2,Tokyo
402,Shoes,2024-02-06,162,3,Houston
403,Backpack,2024-02-07,78,8,Beijing
404,Watch,2024-02-08,429,6,Sydney
405,Headphones,2024-02-09,384,3,Lagos
406,Backpack,2024-02-10,45,7,New York
407,Phone,2024-02-11,66,4,Chicago
408,Camera,2024-02-12,307,9,Chicago
409,Phone,2024-02-13,285,5,Sydney
410,Watch,2024-02-14,35,3,Houston
411,Headphones,2024-02-15,218,2,Lagos
412,Book,2024-02-16,420,2,London
413,Watch,2024-02-17,426,3,Sydney
414,Shoes,2024-02-18,301,2,Houston
415,T-Shirt,2024-02-19,488,4,Lagos
416,Watch,2024-02-20,105,2,Paris
417,Camera,2024-02-21,269,9,New York
418,Camera,2024-02-22,410,2,Tokyo
419,Watch,2024-02-23,289,9,London
420,Backpack,2024-02-24,354,6,Paris
421,T-Shirt,2024-02-25,136,1,Paris
422,Shoes,2024-02-26,26,4,Beijing
423,Watch,2024-02-27,156,1,Chicago
424,Backpack,2024-02-28,390,6,Los Angeles
425,Camera,2024-02-29,195,4,New York
426,Camera,2024-03-01,347,3,Chicago
427,Headphones,2024-03-02,334,3,Miami
428,Watch,2024-03-03,234,9,Paris
429,T-Shirt,2024-03-04,496,6,Los Angeles
430,Laptop,2024-03-05,101,9,Chicago
431,T-Shirt,2024-03-06,242,5,Houston
432,Camera,2024-03-07,497,2,London
433,Camera,2024-03-08,391,8,Chicago
434,Phone,2024-03-09,442,5,Beijing
435,Camera,2024-03-10,421,2,Tokyo
436,Shoes,2024-03-11,462,4,Houston
437,Sunglasses,2024-03-12,122,9,New York
438,Watch,2024-03-13,292,4,New York
439,T-Shirt,2024-03-14,33,4,New York
440,Sunglasses,2024-03-15,178,2,New York
441,Backpack,2024-03-16,171,6,Tokyo
442,Laptop,2024-03-17,127,2,Chicago
443,Shoes,2024-03-18,207,7,Lagos
444,T-Shirt,2024-03-19,320,3,Chicago
445,Sunglasses,2024-03-20,117,3,Paris
446,Laptop,2024-03-21,150,5,Miami
447,Phone,2024-03-22,312,3,London
448,Shoes,2024-03-23,190,2,Los Angeles
449,Shoes,2024-03-24,443,9,Lagos
450,Phone,2024-03-25,493,2,Lagos
451,Watch,2024-03-26,202,2,Paris
452,Phone,2024-03-27,490,8,Chicago
453,Shoes,2024-03-28,383,9,Lagos
454,Shoes,2024-03-29,58,7,Sydney
455,Sunglasses,2024-03-30,34,3,Sydney
456,Camera,2024-03-31,395,9,Miami
457,Laptop,2024-04-01,23,3,Los Angeles
458,Phone,2024-04-02,368,5,Beijing
459,Laptop,2024-04-03,489,9,Tokyo
460,Phone,2024-04-04,428,3,Chicago
461,Backpack,2024-04-05,416,7,Tokyo
462,Shoes,2024-04-06,229,1,Beijing
463,Camera,2024-04-07,180,4,Chicago
464,Sunglasses,2024-04-08,35,4,Chicago
465,Camera,2024-04-09,445,7,Los Angeles
466,Camera,2024-04-10,127,8,Tokyo
467,Camera,2024-04-11,401,1,Sydney
468,Laptop,2024-04-12,469,5,New York
469,Phone,2024-04-13,330,7,Tokyo
470,Book,2024-04-14,246,4,London
471,Backpack,2024-04-15,189,4,London
472,T-Shirt,2024-04-16,53,4,Chicago
473,Camera,2024-04-17,433,6,New York
474,Watch,2024-04-18,270,7,Houston
475,Laptop,2024-04-19,266,2,Beijing
476,Sunglasses,2024-04-20,288,5,Miami
477,T-Shirt,2024-04-21,160,4,New York
478,Book,2024-04-22,293,3,Miami
479,Watch,2024-04-23,435,7,Tokyo
480,Book,2024-04-24,115,6,Tokyo
481,T-Shirt,2024-04-25,246,7,Miami
482,Camera,2024-04-26,398,5,Beijing
483,Watch,2024-04-27,58,6,New York
484,Book,2024-04-28,321,5,Houston
485,Sunglasses,2024-04-29,48,7,Chicago
486,Phone,2024-04-30,465,2,Los Angeles
487,Shoes,2024-05-01,496,5,Tokyo
488,Phone,2024-05-02,337,6,London
489,T-Shirt,2024-05-03,264,6,Beijing
490,Laptop,2024-05-04,255,5,Los Angeles
491,Shoes,2024-05-05,204,7,Houston
492,Backpack,2024-05-06,291,8,Lagos
493,Sunglasses,2024-05-07,459,7,Paris
494,Backpack,2024-05-08,255,5,Chicago
495,Watch,2024-05-09,258,1,Tokyo
496,Shoes,2024-05-10,396,5,Chicago
497,Backpack,2024-05-11,285,2,Los Angeles
498,Backpack,2024-05-12,433,5,Chicago
499,Book,2024-05-13,428,5,Paris
500,Phone,2024-05-14,378,2,Lagos
501,Book,2024-05-15,359,5,Los Angeles
502,Shoes,2024-05-16,408,4,Tokyo
503,Shoes,2024-05-17,84,1,New York
504,T-Shirt,2024-05-18,497,3,London
505,Book,2024-05-19,196,1,Los Angeles
506,Headphones,2024-05-20,22,5,Sydney
507,Phone,2024-05-21,448,4,Lagos
508,Shoes,2024-05-22,161,7,Los Angeles
509,T-Shirt,2024-05-23,395,5,Los Angeles
510,Book,2024-05-24,177,4,Sydney
511,Phone,2024-05-25,343,2,Tokyo
512,Book,2024-05-26,165,4,Los Angeles
513,Backpack,2024-05-27,465,2,London
514,T-Shirt,2024-05-28,312,8,Chicago
515,Phone,2024-05-29,172,3,Tokyo
516,Camera,2024-05-30,451,9,London
517,Watch,2024-05-31,212,4,Tokyo
518,Watch,2024-06-01,456,6,London
519,Phone,2024-06-02,482,5,Paris
520,Book,2024-06-03,92,1,Lagos
521,T-Shirt,2024-06-04,418,9,London
522,Watch,2024-06-05,324,1,Miami
523,T-Shirt,2024-06-06,396,8,London
524,Watch,2024-06-07,363,9,New York
525,Backpack,2024-06-08,471,9,New York
526,Book,2024-06-09,159,1,Beijing
527,Backpack,2024-06-10,206,2,Miami
528,Watch,2024-06-11,312,1,Miami
529,Camera,2024-06-12,80,2,Chicago
530,Camera,2024-06-13,446,8,Miami
531,Backpack,2024-06-14,399,5,Chicago
532,Camera,2024-06-15,217,7,Beijing
533,Watch,2024-06-16,314,2,Beijing
534,Phone,2024-06-17,459,8,Lagos
535,Backpack,2024-06-18,338,6,New York
536,Laptop,2024-06-19,321,8,London
537,Book,2024-06-20,363,1,London
538,Camera,2024-06-21,30,1,Sydney
539,Camera,2024-06-22,81,7,Sydney
540,Shoes,2024-06-23,352,8,Houston
541,Headphones,2024-06-24,245,3,Tokyo
542,Backpack,2024-06-25,172,5,Lagos
543,Sunglasses,2024-06-26,218,1,Houston
544,Camera,2024-06-27,71,7,Houston
545,Book,2024-06-28,279,5,Los Angeles
546,Laptop,2024-06-29,78,8,Los Angeles
547,Camera,2024-06-30,91,8,Houston
548,Laptop,2024-07-01,167,9,Miami
549,Watch,2024-07-02,368,7,Tokyo
550,Watch,2024-07-03,82,1,Lagos
551,Headphones,2024-07-04,329,3,Houston
552,Phone,2024-07-05,392,8,Paris
553,Sunglasses,2024-07-06,262,3,London
554,Shoes,2024-07-07,385,8,Tokyo
555,Headphones,2024-07-08,349,1,Los Angeles
556,T-Shirt,2024-07-09,126,5,London
557,Shoes,2024-07-10,245,4,Los Angeles
558,Backpack,2024-07-11,332,5,Los Angeles
559,Book,2024-07-12,237,8,Tokyo
560,T-Shirt,2024-07-13,444,4,Los Angeles
561,T-Shirt,2024-07-14,260,4,Paris
562,Headphones,2024-07-15,278,3,Beijing
563,Phone,2024-07-16,395,7,New York
564,Headphones,2024-07-17,281,3,Beijing
565,Backpack,2024-07-18,24,3,New York
566,Camera,2024-07-19,280,5,Sydney
567,Camera,2024-07-20,73,5,Sydney
568,Phone,2024-07-21,66,6,Los Angeles
569,Backpack,2024-07-22,234,8,Lagos
570,Phone,2024-07-23,196,6,Lagos
571,Laptop,2024-07-24,28,1,New York
572,Camera,2024-07-25,118,8,London
573,T-Shirt,2024-07-26,39,8,Tokyo
574,Sunglasses,2024-07-27,397,9,Los Angeles
575,Book,2024-07-28,260,9,Tokyo
576,Backpack,2024-07-29,80,2,Beijing
577,Shoes,2024-07-30,398,2,Lagos
578,Phone,2024-07-31,438,3,Miami
579,Book,2024-08-01,197,1,Beijing
580,Shoes,2024-08-02,357,4,Paris
581,Book,2024-08-03,81,4,Beijing
582,Sunglasses,2024-08-04,164,9,New York
583,Shoes,2024-08-05,235,9,Paris
584,Headphones,2024-08-06,22,9,Chicago
585,Watch,2024-08-07,179,7,Beijing
586,Headphones,2024-08-08,246,2,Paris
587,Camera,2024-08-09,288,5,Los Angeles
588,Watch,2024-08-10,139,4,Houston
589,Headphones,2024-08-11,400,8,Houston
590,Watch,2024-08-12,108,2,Los Angeles
591,Watch,2024-08-13,348,6,Chicago
592,T-Shirt,2024-08-14,87,5,Chicago
593,Phone,2024-08-15,417,2,New York
594,Phone,2024-08-16,376,1,Lagos
595,T-Shirt,2024-08-17,117,8,Tokyo
596,Book,2024-08-18,286,2,Chicago
597,Laptop,2024-08-19,124,7,Miami
598,Book,2024-08-20,459,9,New York
599,Shoes,2024-08-21,342,9,Sydney
600,Shoes,2024-08-22,142,8,London
601,Watch,2024-08-23,495,9,Sydney
602,Headphones,2024-08-24,48,2,New York
603,Headphones,2024-08-25,156,6,Paris
604,Phone,2024-08-26,214,4,Beijing
605,Backpack,2024-08-27,428,4,Tokyo
606,Book,2024-08-28,245,5,London
607,Camera,2024-08-29,351,3,Sydney
608,Sunglasses,2024-08-30,189,1,London
609,Headphones,2024-08-31,28,8,Miami
610,Sunglasses,2024-09-01,482,5,Miami
611,Watch,2024-09-02,59,3,Paris
612,Sunglasses,2024-09-03,44,7,Miami
613,Camera,2024-09-04,280,7,New York
614,T-Shirt,2024-09-05,414,1,Tokyo
615,Camera,2024-09-06,462,9,Paris
616,Sunglasses,2024-09-07,245,2,New York
617,Camera,2024-09-08,491,5,Houston
618,Laptop,2024-09-09,143,5,Beijing
619,Watch,2024-09-10,482,8,Beijing
620,Book,2024-09-11,57,8,Miami
621,T-Shirt,2024-09-12,347,7,Houston
